"Order_ID";"Order_Date";"Customer_ID";"Material_ID";"Quantity";"Unit_Price_EUR";"Discount_Percent";"Net_Revenue_EUR"
"ORD00029";"2024-06-30";"CUST012";"MAT001";"70";"572,11";"0";"40047,7"
"ORD00030";"2023-08-19";"CUST014";"MAT026";"74";"150,83";"5";"10603,35"
"ORD00031";"2024-07-30";"CUST011";"MAT006";"71";"710,6";"10";"45407,34"
"ORD00032";"2023-03-01";"CUST010";"MAT012";"60";"214,77";"10";"11597,58"
"ORD00033";"2023-01-20";"CUST003";"MAT001";"15";"584,37";"0";"8765,55"
"ORD00034";"2024-07-02";"CUST002";"MAT003";"35";"155,52";"0";"5443,2"
"ORD00035";"2023-07-22";"CUST012";"MAT019";"19";"477,48";"0";"9072,12"
"ORD00036";"2023-12-26";"CUST006";"MAT009";"45";"132,08";"10";"5349,24"
"ORD00037";"2024-07-04";"CUST014";"MAT028";"13";"33,19";"0";"431,47"
"ORD00038";"2024-09-22";"CUST009";"MAT021";"24";"701,87";"0";"16844,88"
"ORD00039";"2024-04-24";"CUST012";"MAT002";"72";"389,36";"5";"26632,22"
"ORD00040";"2023-09-22";"CUST005";"MAT030";"90";"525,55";"0";"47299,5"
"ORD00041";"2024-06-04";"CUST013";"MAT029";"42";"335,59";"0";"14094,78"
"ORD00042";"2023-03-04";"CUST010";"MAT020";"69";"248,7";"0";"17160,3"
"ORD00043";"2024-04-01";"CUST001";"MAT020";"7";"211,79";"0";"1482,53"
"ORD00044";"2024-02-28";"CUST003";"MAT019";"59";"501,7";"0";"29600,3"
"ORD00045";"2023-01-26";"CUST014";"MAT025";"36";"226,7";"0";"8161,2"
"ORD00046";"2024-10-30";"CUST013";"MAT004";"55";"134,76";"0";"7411,8"
"ORD00047";"2024-09-01";"CUST011";"MAT028";"52";"31,08";"5";"1535,35"
"ORD00048";"2024-09-24";"CUST004";"MAT003";"99";"173,95";"5";"16360"
"ORD00049";"2024-10-21";"CUST003";"MAT004";"25";"135,76";"0";"3394"
"ORD00050";"2024-04-08";"CUST006";"MAT001";"11";"604,8";"0";"6652,8"
"ORD00051";"2023-09-18";"CUST009";"MAT013";"75";"189,87";"0";"14240,25"
"ORD00052";"2023-12-15";"CUST014";"MAT030";"33";"468,35";"5";"14682,77"
"ORD00053";"2023-08-12";"CUST013";"MAT004";"18";"133,76";"0";"2407,68"
"ORD00054";"2023-05-19";"CUST010";"MAT016";"75";"142,79";"0";"10709,25"
"ORD00055";"2023-05-10";"CUST011";"MAT027";"62";"385,07";"5";"22680,62"
"ORD00056";"2024-11-29";"CUST006";"MAT015";"35";"172,64";"0";"6042,4"
"ORD00057";"2023-08-05";"CUST015";"MAT024";"86";"552,42";"0";"47508,12"
"ORD00058";"2024-03-26";"CUST005";"MAT021";"55";"766,58";"0";"42161,9"
"ORD00059";"2023-05-09";"CUST004";"MAT015";"2";"170,28";"0";"340,56"
"ORD00060";"2023-10-02";"CUST004";"MAT001";"80";"588,46";"5";"44722,96"
"ORD00061";"2023-09-20";"CUST009";"MAT009";"36";"157,09";"0";"5655,24"
"ORD00062";"2024-01-21";"CUST005";"MAT010";"32";"170,14";"0";"5444,48"
"ORD00063";"2024-05-20";"CUST015";"MAT007";"22";"327,51";"0";"7205,22"
"ORD00064";"2024-11-29";"CUST007";"MAT009";"59";"138,08";"0";"8146,72"
"ORD00065";"2023-05-18";"CUST008";"MAT016";"35";"150,45";"0";"5265,75"
"ORD00066";"2023-12-14";"CUST014";"MAT026";"96";"132,69";"5";"12101,33"
"ORD00067";"2023-12-31";"CUST002";"MAT015";"86";"179,74";"0";"15457,64"
"ORD00068";"2024-09-21";"CUST008";"MAT003";"38";"165,89";"0";"6303,82"
"ORD00069";"2023-05-16";"CUST015";"MAT004";"62";"136,75";"0";"8478,5"
"ORD00070";"2023-02-08";"CUST004";"MAT026";"13";"128,87";"0";"1675,31"
"ORD00071";"2024-11-09";"CUST013";"MAT029";"8";"320,53";"0";"2564,24"
"ORD00072";"2023-02-26";"CUST007";"MAT010";"60";"161,7";"5";"9216,9"
"ORD00073";"2023-06-14";"CUST014";"MAT014";"86";"478,87";"0";"41182,82"
"ORD00074";"2024-06-20";"CUST001";"MAT026";"30";"149,87";"0";"4496,1"
"ORD00075";"2024-11-25";"CUST002";"MAT015";"14";"180,92";"0";"2532,88"
"ORD00076";"2024-01-01";"CUST009";"MAT019";"34";"453,26";"5";"14640,3"
"ORD00077";"2023-08-11";"CUST001";"MAT028";"79";"35,99";"5";"2701,05"
"ORD00078";"2023-04-12";"CUST007";"MAT016";"25";"149,49";"0";"3737,25"
"ORD00079";"2024-05-28";"CUST002";"MAT010";"84";"174,97";"0";"14697,48"
"ORD00080";"2023-10-11";"CUST010";"MAT005";"26";"592,73";"5";"14640,43"
"ORD00081";"2024-05-11";"CUST012";"MAT017";"89";"638,02";"5";"53944,59"
"ORD00082";"2023-08-22";"CUST012";"MAT012";"57";"239,32";"10";"12277,12"
"ORD00083";"2024-04-06";"CUST004";"MAT005";"16";"632,77";"0";"10124,32"
"ORD00084";"2024-01-08";"CUST007";"MAT008";"41";"536,4";"0";"21992,4"
"ORD00085";"2023-07-19";"CUST009";"MAT030";"44";"539,86";"15";"20190,76"
"ORD00086";"2024-07-01";"CUST015";"MAT021";"64";"716,8";"0";"45875,2"
"ORD00087";"2023-12-10";"CUST008";"MAT011";"38";"286,9";"0";"10902,2"
"ORD00088";"2023-09-25";"CUST011";"MAT007";"2";"380,02";"0";"760,04"
"ORD00089";"2024-01-01";"CUST014";"MAT005";"45";"612,75";"0";"27573,75"
"ORD00090";"2024-04-11";"CUST003";"MAT017";"97";"573";"5";"52801,95"
"ORD00091";"2023-06-17";"CUST012";"MAT009";"6";"138,08";"0";"828,48"
"ORD00092";"2024-07-17";"CUST012";"MAT030";"71";"557,73";"10";"35638,95"
"ORD00093";"2023-02-16";"CUST015";"MAT008";"44";"561,77";"5";"23481,99"
"ORD00094";"2024-04-12";"CUST013";"MAT015";"10";"167,92";"0";"1679,2"
"ORD00095";"2023-09-12";"CUST004";"MAT021";"17";"691,91";"5";"11174,35"
"ORD00096";"2023-05-06";"CUST002";"MAT030";"78";"511,25";"0";"39877,5"
"ORD00097";"2023-04-28";"CUST008";"MAT010";"19";"182,21";"0";"3461,99"
"ORD00098";"2024-02-23";"CUST012";"MAT003";"19";"171,65";"0";"3261,35"
"ORD00099";"2023-05-31";"CUST014";"MAT014";"65";"437,64";"5";"27024,27"
"ORD00100";"2024-02-17";"CUST011";"MAT005";"23";"576,71";"5";"12601,11"
"ORD00101";"2023-08-01";"CUST005";"MAT001";"40";"563,94";"10";"20301,84"
"ORD00102";"2023-09-21";"CUST004";"MAT001";"9";"563,94";"5";"4821,69"
"ORD00103";"2024-08-20";"CUST015";"MAT001";"16";"596,63";"10";"8591,47"
"ORD00104";"2023-06-27";"CUST009";"MAT020";"40";"224,63";"0";"8985,2"
"ORD00105";"2023-05-15";"CUST011";"MAT030";"38";"482,65";"0";"18340,7"
"ORD00106";"2023-01-08";"CUST010";"MAT008";"14";"489,28";"0";"6849,92"
"ORD00107";"2023-08-31";"CUST006";"MAT007";"12";"340,01";"10";"3672,11"
"ORD00108";"2023-03-23";"CUST004";"MAT030";"12";"568,46";"15";"5798,29"
"ORD00109";"2023-02-10";"CUST002";"MAT007";"66";"362,51";"0";"23925,66"
"ORD00110";"2023-01-12";"CUST006";"MAT019";"32";"460,18";"0";"14725,76"
"ORD00111";"2024-10-17";"CUST012";"MAT025";"41";"250,92";"10";"9258,95"
"ORD00112";"2023-05-08";"CUST006";"MAT023";"88";"351,97";"0";"30973,36"
"ORD00113";"2023-03-15";"CUST008";"MAT027";"41";"371,61";"0";"15236,01"
"ORD00114";"2023-05-05";"CUST013";"MAT012";"50";"217,84";"5";"10347,4"
"ORD00115";"2024-06-08";"CUST013";"MAT007";"82";"382,52";"0";"31366,64"
"ORD00116";"2024-01-20";"CUST004";"MAT011";"27";"286,9";"0";"7746,3"
"ORD00117";"2024-02-18";"CUST013";"MAT011";"26";"272,46";"0";"7083,96"
"ORD00118";"2023-09-17";"CUST011";"MAT013";"69";"189,87";"10";"11790,93"
"ORD00119";"2024-09-25";"CUST007";"MAT027";"1";"360,84";"0";"360,84"
"ORD00120";"2023-03-20";"CUST014";"MAT030";"86";"504,1";"0";"43352,6"
"ORD00121";"2023-11-03";"CUST013";"MAT022";"89";"239,82";"0";"21343,98"
"ORD00122";"2024-02-15";"CUST013";"MAT004";"69";"156,72";"0";"10813,68"
"ORD00123";"2023-09-26";"CUST002";"MAT028";"18";"33,19";"0";"597,42"
"ORD00124";"2023-05-31";"CUST008";"MAT011";"77";"285,1";"0";"21952,7"
"ORD00125";"2024-09-20";"CUST013";"MAT021";"43";"761,6";"5";"31111,36"
"ORD00126";"2024-11-23";"CUST010";"MAT017";"53";"560,8";"0";"29722,4"
"ORD00127";"2024-06-19";"CUST009";"MAT029";"39";"322,68";"5";"11955,29"
"ORD00128";"2023-07-10";"CUST013";"MAT009";"93";"150,09";"0";"13958,37"
"ORD00129";"2023-07-15";"CUST009";"MAT011";"69";"241,79";"0";"16683,51"
"ORD00130";"2023-12-29";"CUST013";"MAT012";"58";"210,17";"5";"11580,37"
"ORD00131";"2023-01-30";"CUST004";"MAT016";"69";"129,37";"0";"8926,53"
"ORD00132";"2024-09-04";"CUST013";"MAT026";"54";"130,78";"5";"6709,01"
"ORD00133";"2023-08-15";"CUST009";"MAT024";"88";"556,12";"5";"46491,63"
"ORD00134";"2024-12-23";"CUST003";"MAT002";"21";"346,38";"0";"7273,98"
"ORD00135";"2024-04-06";"CUST005";"MAT013";"95";"163,46";"0";"15528,7"
"ORD00136";"2024-12-18";"CUST005";"MAT023";"42";"354,49";"0";"14888,58"
"ORD00137";"2023-07-07";"CUST006";"MAT020";"32";"253,51";"5";"7706,7"
"ORD00138";"2024-05-18";"CUST008";"MAT008";"14";"507,4";"0";"7103,6"
"ORD00139";"2024-08-30";"CUST015";"MAT007";"92";"325,01";"0";"29900,92"
"ORD00140";"2024-07-21";"CUST015";"MAT001";"38";"625,23";"10";"21382,87"
"ORD00141";"2023-07-17";"CUST014";"MAT016";"17";"149,49";"10";"2287,2"
"ORD00142";"2024-05-12";"CUST014";"MAT028";"7";"31,55";"0";"220,85"
"ORD00143";"2024-01-06";"CUST003";"MAT019";"99";"494,78";"0";"48983,22"
"ORD00144";"2023-07-07";"CUST007";"MAT014";"88";"418,61";"5";"34995,8"
"ORD00145";"2023-01-30";"CUST011";"MAT012";"59";"199,43";"0";"11766,37"
"ORD00146";"2024-05-19";"CUST001";"MAT018";"60";"553,28";"0";"33196,8"
"ORD00147";"2024-06-26";"CUST010";"MAT003";"96";"167,04";"0";"16035,84"
"ORD00148";"2024-10-02";"CUST006";"MAT010";"68";"166,52";"0";"11323,36"
"ORD00149";"2023-04-18";"CUST013";"MAT012";"40";"236,25";"0";"9450"
"ORD00150";"2023-01-18";"CUST007";"MAT011";"86";"239,99";"0";"20639,14"
"ORD00151";"2023-08-12";"CUST006";"MAT021";"77";"721,78";"0";"55577,06"
"ORD00152";"2023-03-23";"CUST010";"MAT012";"2";"243,92";"0";"487,84"
"ORD00153";"2024-02-14";"CUST007";"MAT030";"45";"557,73";"0";"25097,85"
"ORD00154";"2023-10-08";"CUST011";"MAT015";"46";"177,38";"10";"7343,53"
"ORD00155";"2023-06-06";"CUST011";"MAT010";"64";"167,73";"0";"10734,72"
"ORD00156";"2024-08-09";"CUST011";"MAT019";"94";"529,38";"0";"49761,72"
"ORD00157";"2024-09-07";"CUST011";"MAT003";"83";"171,65";"5";"13534,6"
"ORD00158";"2023-11-28";"CUST011";"MAT022";"14";"213,85";"0";"2993,9"
"ORD00159";"2024-11-06";"CUST006";"MAT001";"84";"531,24";"0";"44624,16"
"ORD00160";"2023-04-05";"CUST011";"MAT015";"29";"165,55";"0";"4800,95"
"ORD00161";"2024-12-18";"CUST015";"MAT023";"56";"359,52";"0";"20133,12"
"ORD00162";"2024-05-12";"CUST014";"MAT004";"86";"144,74";"5";"11825,26"
"ORD00163";"2023-03-17";"CUST009";"MAT021";"53";"657,07";"0";"34824,71"
"ORD00164";"2023-10-31";"CUST002";"MAT010";"48";"174,97";"0";"8398,56"
"ORD00165";"2023-02-24";"CUST005";"MAT025";"83";"238,81";"0";"19821,23"
"ORD00166";"2024-12-18";"CUST015";"MAT025";"13";"237,08";"0";"3082,04"
"ORD00167";"2023-12-14";"CUST001";"MAT002";"39";"361,55";"5";"13395,43"
"ORD00168";"2024-01-13";"CUST003";"MAT024";"45";"545";"10";"22072,5"
"ORD00169";"2024-10-17";"CUST002";"MAT026";"57";"138,42";"0";"7889,94"
"ORD00170";"2024-05-24";"CUST001";"MAT029";"50";"279,66";"0";"13983"
"ORD00171";"2024-08-22";"CUST008";"MAT022";"5";"219,96";"5";"1044,81"
"ORD00172";"2024-07-03";"CUST015";"MAT016";"99";"136,08";"0";"13471,92"
"ORD00173";"2024-09-01";"CUST008";"MAT020";"69";"248,7";"0";"17160,3"
"ORD00174";"2023-03-04";"CUST012";"MAT020";"68";"255,12";"0";"17348,16"
"ORD00175";"2024-04-25";"CUST012";"MAT008";"54";"558,14";"0";"30139,56"
"ORD00176";"2024-04-04";"CUST004";"MAT007";"50";"392,52";"10";"17663,4"
"ORD00177";"2023-11-14";"CUST008";"MAT014";"91";"463,01";"0";"42133,91"
"ORD00178";"2024-09-11";"CUST002";"MAT005";"30";"636,78";"5";"18148,23"
"ORD00179";"2023-01-31";"CUST012";"MAT008";"68";"503,78";"0";"34257,04"
"ORD00180";"2023-09-25";"CUST004";"MAT012";"44";"202,5";"0";"8910"
"ORD00181";"2024-12-17";"CUST009";"MAT012";"29";"216,31";"0";"6272,99"
"ORD00182";"2023-05-18";"CUST009";"MAT027";"17";"420,08";"0";"7141,36"
"ORD00183";"2024-10-25";"CUST013";"MAT024";"4";"589,49";"0";"2357,96"
"ORD00184";"2023-02-06";"CUST012";"MAT008";"61";"572,64";"0";"34931,04"
"ORD00185";"2024-05-18";"CUST010";"MAT020";"47";"232,65";"0";"10934,55"
"ORD00186";"2024-08-12";"CUST015";"MAT002";"12";"353,96";"15";"3610,39"
"ORD00187";"2024-02-26";"CUST001";"MAT007";"56";"332,51";"10";"16758,5"
"ORD00188";"2023-10-30";"CUST005";"MAT018";"30";"591,29";"10";"15964,83"
"ORD00189";"2024-11-06";"CUST004";"MAT007";"80";"372,51";"10";"26820,72"
"ORD00190";"2024-08-07";"CUST004";"MAT003";"93";"157,82";"0";"14677,26"
"ORD00191";"2024-01-06";"CUST002";"MAT006";"5";"755,01";"5";"3586,3"
"ORD00192";"2023-06-13";"CUST004";"MAT021";"31";"657,07";"0";"20369,17"
"ORD00193";"2024-02-18";"CUST007";"MAT007";"7";"362,51";"5";"2410,69"
"ORD00194";"2024-04-10";"CUST001";"MAT025";"23";"224,97";"0";"5174,31"
"ORD00195";"2024-08-08";"CUST001";"MAT019";"76";"505,16";"5";"36472,55"
"ORD00196";"2023-10-02";"CUST004";"MAT019";"3";"453,26";"0";"1359,78"
"ORD00197";"2023-02-06";"CUST014";"MAT017";"35";"568,93";"0";"19912,55"
"ORD00198";"2023-06-19";"CUST010";"MAT018";"69";"667,31";"0";"46044,39"
"ORD00199";"2023-08-31";"CUST005";"MAT030";"58";"532,7";"0";"30896,6"
"ORD00200";"2024-09-19";"CUST013";"MAT013";"56";"165,98";"10";"8365,39"
"ORD00201";"2024-04-04";"CUST013";"MAT030";"48";"547,01";"0";"26256,48"
"ORD00202";"2024-10-20";"CUST006";"MAT003";"77";"160,13";"0";"12330,01"
"ORD00203";"2024-06-27";"CUST011";"MAT020";"43";"210,19";"0";"9038,17"
"ORD00204";"2023-06-02";"CUST009";"MAT007";"34";"360,01";"0";"12240,34"
"ORD00205";"2023-09-18";"CUST010";"MAT021";"91";"716,8";"10";"58705,92"
"ORD00206";"2023-01-27";"CUST001";"MAT014";"44";"421,78";"5";"17630,4"
"ORD00207";"2024-01-31";"CUST005";"MAT026";"48";"147,96";"0";"7102,08"
"ORD00208";"2023-08-20";"CUST009";"MAT007";"26";"330,01";"10";"7722,23"
"ORD00209";"2023-01-09";"CUST010";"MAT013";"34";"174,78";"0";"5942,52"
"ORD00210";"2024-07-15";"CUST003";"MAT021";"17";"647,11";"0";"11000,87"
"ORD00211";"2023-06-14";"CUST011";"MAT027";"69";"406,61";"0";"28056,09"
"ORD00212";"2023-03-16";"CUST004";"MAT024";"2";"567,25";"0";"1134,5"
"ORD00213";"2024-10-12";"CUST001";"MAT029";"27";"335,59";"0";"9060,93"
"ORD00214";"2024-05-13";"CUST014";"MAT030";"57";"557,73";"0";"31790,61"
"ORD00215";"2023-05-09";"CUST014";"MAT008";"15";"507,4";"0";"7611"
"ORD00216";"2023-05-02";"CUST005";"MAT010";"90";"167,73";"0";"15095,7"
"ORD00217";"2023-09-11";"CUST006";"MAT022";"8";"215,38";"0";"1723,04"
"ORD00218";"2024-09-10";"CUST013";"MAT024";"8";"570,96";"0";"4567,68"
"ORD00219";"2023-12-24";"CUST012";"MAT018";"62";"658,87";"0";"40849,94"
"ORD00220";"2024-08-26";"CUST014";"MAT027";"77";"360,84";"0";"27784,68"
"ORD00221";"2024-05-29";"CUST005";"MAT013";"29";"196,15";"10";"5119,52"
"ORD00222";"2023-04-20";"CUST001";"MAT021";"40";"696,89";"0";"27875,6"
"ORD00223";"2023-12-21";"CUST015";"MAT017";"35";"638,02";"10";"20097,63"
"ORD00224";"2023-10-22";"CUST012";"MAT006";"28";"651,38";"0";"18238,64"
"ORD00225";"2023-05-07";"CUST002";"MAT005";"27";"612,75";"0";"16544,25"
"ORD00226";"2024-05-26";"CUST001";"MAT028";"54";"31,55";"0";"1703,7"
"ORD00227";"2024-08-25";"CUST003";"MAT014";"93";"440,81";"0";"40995,33"
"ORD00228";"2023-06-29";"CUST011";"MAT017";"8";"577,06";"0";"4616,48"
"ORD00229";"2024-02-19";"CUST010";"MAT015";"85";"156,09";"0";"13267,65"
"ORD00230";"2024-03-08";"CUST007";"MAT007";"10";"380,02";"5";"3610,19"
"ORD00231";"2023-04-08";"CUST002";"MAT004";"71";"146,74";"0";"10418,54"
"ORD00232";"2024-09-13";"CUST004";"MAT023";"24";"369,57";"5";"8426,2"
"ORD00233";"2023-01-21";"CUST001";"MAT002";"29";"333,74";"0";"9678,46"
"ORD00234";"2023-11-13";"CUST006";"MAT009";"13";"137,08";"10";"1603,84"
"ORD00235";"2024-11-12";"CUST012";"MAT022";"92";"201,63";"5";"17622,46"
"ORD00236";"2024-02-21";"CUST011";"MAT015";"79";"182,1";"0";"14385,9"
"ORD00237";"2024-04-15";"CUST002";"MAT026";"50";"130,78";"0";"6539"
"ORD00238";"2023-10-31";"CUST013";"MAT010";"94";"158,08";"0";"14859,52"
"ORD00239";"2023-07-24";"CUST004";"MAT001";"59";"621,15";"5";"34815,46"
"ORD00240";"2023-08-11";"CUST003";"MAT005";"37";"592,73";"0";"21931,01"
"ORD00241";"2024-04-30";"CUST006";"MAT007";"62";"345,01";"0";"21390,62"
"ORD00242";"2024-02-25";"CUST009";"MAT017";"31";"564,87";"0";"17510,97"
"ORD00243";"2023-08-19";"CUST005";"MAT016";"18";"130,33";"0";"2345,94"
"ORD00244";"2024-01-04";"CUST015";"MAT024";"53";"578,37";"10";"27588,25"
"ORD00245";"2023-04-25";"CUST010";"MAT024";"39";"559,83";"0";"21833,37"
"ORD00246";"2023-08-28";"CUST002";"MAT023";"85";"346,95";"0";"29490,75"
"ORD00247";"2024-05-02";"CUST004";"MAT002";"35";"356,49";"5";"11853,29"
"ORD00248";"2023-03-26";"CUST013";"MAT002";"13";"402";"0";"5226"
"ORD00249";"2024-06-27";"CUST014";"MAT008";"88";"532,77";"0";"46883,76"
"ORD00250";"2023-04-22";"CUST005";"MAT027";"32";"417,38";"0";"13356,16"
"ORD00251";"2023-08-28";"CUST011";"MAT027";"56";"393,15";"5";"20915,58"
"ORD00252";"2023-10-07";"CUST006";"MAT013";"36";"174,78";"0";"6292,08"
"ORD00253";"2024-01-05";"CUST004";"MAT003";"34";"169,34";"0";"5757,56"
"ORD00254";"2024-10-18";"CUST001";"MAT020";"64";"247,09";"0";"15813,76"
"ORD00255";"2024-09-12";"CUST009";"MAT009";"50";"147,09";"0";"7354,5"
"ORD00256";"2023-06-14";"CUST005";"MAT003";"34";"165,89";"0";"5640,26"
"ORD00257";"2024-06-17";"CUST015";"MAT006";"42";"725,4";"0";"30466,8"
"ORD00258";"2024-02-26";"CUST014";"MAT021";"55";"676,98";"5";"35372,2"
"ORD00259";"2024-04-23";"CUST007";"MAT001";"50";"551,68";"10";"24825,6"
"ORD00260";"2024-12-23";"CUST012";"MAT015";"97";"180,92";"5";"16671,78"
"ORD00261";"2024-07-26";"CUST001";"MAT019";"31";"470,56";"0";"14587,36"
"ORD00262";"2023-05-17";"CUST002";"MAT003";"46";"179,71";"0";"8266,66"
"ORD00263";"2023-11-23";"CUST004";"MAT014";"94";"504,24";"5";"45028,63"
"ORD00264";"2023-05-16";"CUST009";"MAT018";"16";"641,97";"0";"10271,52"
"ORD00265";"2023-08-16";"CUST008";"MAT021";"26";"681,96";"0";"17730,96"
"ORD00266";"2023-06-13";"CUST012";"MAT014";"72";"459,84";"0";"33108,48"
"ORD00267";"2024-06-13";"CUST001";"MAT002";"6";"328,68";"0";"1972,08"
"ORD00268";"2024-02-08";"CUST001";"MAT008";"37";"474,78";"0";"17566,86"
"ORD00269";"2024-05-25";"CUST015";"MAT028";"56";"34,82";"0";"1949,92"
"ORD00270";"2023-09-27";"CUST005";"MAT027";"99";"358,14";"0";"35455,86"
"ORD00271";"2024-06-28";"CUST014";"MAT005";"9";"540,66";"0";"4865,94"
"ORD00272";"2024-04-29";"CUST004";"MAT002";"20";"333,74";"0";"6674,8"
"ORD00273";"2024-03-26";"CUST014";"MAT027";"99";"420,08";"0";"41587,92"
"ORD00274";"2024-05-17";"CUST009";"MAT012";"68";"223,98";"0";"15230,64"
"ORD00275";"2023-01-09";"CUST013";"MAT017";"35";"609,57";"0";"21334,95"
"ORD00276";"2023-07-23";"CUST008";"MAT014";"73";"463,01";"0";"33799,73"
"ORD00277";"2023-06-02";"CUST007";"MAT028";"34";"30,61";"0";"1040,74"
"ORD00278";"2024-07-24";"CUST004";"MAT022";"35";"219,96";"0";"7698,6"
"ORD00279";"2023-09-21";"CUST008";"MAT021";"56";"657,07";"0";"36795,92"
"ORD00280";"2023-08-05";"CUST005";"MAT006";"31";"759,94";"0";"23558,14"
"ORD00281";"2024-12-30";"CUST005";"MAT023";"55";"336,89";"0";"18528,95"
"ORD00282";"2024-11-01";"CUST001";"MAT023";"75";"349,46";"0";"26209,5"
"ORD00283";"2024-03-31";"CUST006";"MAT013";"14";"171,01";"0";"2394,14"
"ORD00284";"2024-04-21";"CUST006";"MAT004";"93";"155,72";"0";"14481,96"
"ORD00285";"2024-06-12";"CUST014";"MAT010";"77";"178,59";"0";"13751,43"
"ORD00286";"2024-09-18";"CUST014";"MAT003";"97";"158,98";"0";"15421,06"
"ORD00287";"2023-06-01";"CUST003";"MAT021";"21";"721,78";"0";"15157,38"
"ORD00288";"2023-06-16";"CUST012";"MAT011";"77";"249,01";"0";"19173,77"
"ORD00289";"2024-06-30";"CUST015";"MAT019";"9";"532,84";"5";"4555,78"
"ORD00290";"2023-04-24";"CUST007";"MAT030";"34";"471,93";"10";"14441,06"
"ORD00291";"2024-09-13";"CUST010";"MAT024";"90";"496,8";"0";"44712"
"ORD00292";"2023-02-22";"CUST009";"MAT021";"37";"672";"5";"23620,8"
"ORD00293";"2023-04-07";"CUST012";"MAT008";"64";"525,52";"0";"33633,28"
"ORD00294";"2024-12-27";"CUST003";"MAT029";"10";"326,98";"0";"3269,8"
"ORD00295";"2024-12-10";"CUST010";"MAT022";"62";"224,54";"0";"13921,48"
"ORD00296";"2023-12-18";"CUST010";"MAT003";"27";"150,91";"0";"4074,57"
"ORD00297";"2024-06-09";"CUST009";"MAT022";"38";"212,32";"10";"7261,34"
"ORD00298";"2023-01-24";"CUST015";"MAT004";"50";"147,73";"0";"7386,5"
"ORD00299";"2024-07-29";"CUST006";"MAT002";"35";"361,55";"0";"12654,25"
"ORD00300";"2023-03-07";"CUST003";"MAT026";"78";"146,05";"0";"11391,9"
"ORD00301";"2023-06-01";"CUST004";"MAT006";"94";"685,92";"5";"61252,66"
"ORD00302";"2023-08-12";"CUST005";"MAT025";"45";"249,19";"0";"11213,55"
"ORD00303";"2024-11-09";"CUST013";"MAT011";"33";"281,49";"10";"8360,25"
"ORD00304";"2024-07-10";"CUST011";"MAT013";"45";"183,58";"0";"8261,1"
"ORD00305";"2024-01-11";"CUST008";"MAT001";"18";"543,5";"5";"9293,85"
"ORD00306";"2023-07-31";"CUST001";"MAT017";"65";"528,29";"0";"34338,85"
"ORD00307";"2023-06-16";"CUST006";"MAT014";"42";"421,78";"5";"16829,02"
"ORD00308";"2023-06-08";"CUST005";"MAT001";"58";"641,58";"0";"37211,64"
